Year Reported to CDP,Account Number,Organization,City,Country,CDP Region,Reporting Authority,Access,City-wide Emissions Inventory,Accounting Year,Inventory Boundary,Primary Protocol,Primary Protocol Comment,Common Reporting Framework inventory format (GPC) ,Gases Included,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total generation of grid supplied energy ,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total generation of grid supplied energy,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy),Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total generation of grid supplied energy ,Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Total Scope 1 Emissions (metric tonnes CO2e),Total Scope 2 Emissions (metric tonnes CO2e),Total Scope 3 emissions (metric tonnes CO2e),Total BASIC Emissions (GPC),Total BASIC+ Emissions (GPC),Chnage in emissions,Reason for change,​Land area (in square km),Population,Population Year,City Location,Last update
2019,8242,City of Helsinki,Helsinki,Finland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities",public,Yes,2018-01-01 - 2018-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",3289000,811733,,1747554,,,,,,,,Decreased,Technological change,,650033,2018,POINT (24.941 60.1733),2020-05-01T03:57:57.217
2019,60414,Municipalidad Venado Tuerto,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",0,361558.32,0,58537.6,0,11244.57,,,,,,This is our first year of calculation,Other,,76432,2010,,2020-05-01T03:57:57.217
2019,42388,Intendencia de Montevideo,Montevideo,Uruguay,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,3168923,42791,0,3211715,0,Stayed the same,Emissions have not changed,,1380432,2016,POINT (-58.2987 -34.7112),2020-05-01T03:57:57.217
2019,59956,Banda Aceh City Government,,Indonesia,Southeast Asia and Oceania,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2013-01-01 - 2013-12-31,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,"CH4, CO2",98715,479731,,,,,,,,,,Increased,Population increase,,259913,2018,,2020-05-01T03:57:57.217
2019,73712,Camilo Aldao,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",0,87536.69,0,3486.19,0,534.73,,,,,,This is our first year of calculation,Other,,5209,2010,,2020-05-01T03:57:57.217
2019,59996,Batangas City,Batangas,Philippines,Southeast Asia and Oceania,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"Results of the inventory cover the reporting period from January 1, 2010 to December 31, 2010. The report was completed primarily in accordance with the guidance from the World Resources Institute’s (WRI) Greenhouse Gas Protocol, the current international standard for corporate greenhouse gas inventories, the 2006 IPCC Guidelines for National GHG inventories, and Tracking Greenhouse Gases: An Inventory Manual published by the Department of Environment and Natural Resources (DENR).Guidance from the following sources was also used: GHG Management in Local Governments: A Guide developed by the Greenhouse Gas Management Institute (GHGMI) with funding support from USAID, International Local Government Greenhouse Gas Emissions Analysis Protocol (IEAP)developed by ICLEI, and the newly published Global Protocol for Community-Scale Greenhouse Gas Emissions  from WRI, ICLEI, and the C40 Climate Leadership Group were also used to supplement the GHG Protocol.",,"CH4, CO2, N20",172070,,,,,,,,,,,Increased,Behavioural change,,354170,2017,POINT (121.058 13.7565),2020-05-01T03:57:57.217
2019,54048,City of Knoxville,Knoxville,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,"CH4, CO2, N20",,2653938,,1238562,,115174,,,,,,Decreased,Change in available data,,186239,2016,POINT (-83.9207 35.9606),2020-05-01T03:57:57.217
2019,834277,Municipality of Patagones,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",0,648432.87,0,16124.89,0,2473.31,,,,,,This is our first year of calculation,Other: Falta de datos,,31294,2014,,2020-05-01T03:57:57.217
2019,834287,Municipality of Terra Nova do Norte,,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),BASIC+ and HWP and fluctuant fleet (roads),Yes,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",297,,,,,,,,,,,Increased,Population increase,,10500,2018,,2020-05-01T03:57:57.217
2019,73666,Cuyahoga County,,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,,"CH4, CO2, N20",117759,16197834,,6257162,,418436,,,,,,Decreased,Other: Emissions reduction actions implemented,,1248371,2017,,2020-05-01T03:57:57.217
2019,36261,Comune di Bolzano,Bolzano,Italy,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Th einventory has been submitted to the Covenant of Mayors as part of the SEAP,,CO2,,485684,,,,,,,,,,Decreased,Technological change,,107669,2018,POINT (11.3566 46.4997),2020-05-01T03:57:57.217
2019,54637,Alcaldía de Cuenca,Cuenca,Ecuador,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"De acuerdo al GPC las fuentes de emisiones de GEI a nivel ciudad se dividen en tres alcances, seis categorías y tres niveles.",Yes,CO2,,1382392,,116682,,,,,,,,This is our first year of calculation,Lack of resource / funding overcome,,505585,2010,POINT (-79.0048 -2.90841),2020-05-01T03:57:57.217
2019,49330,Kansas City,Kansas City,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"While the ICLEI protocol was used, the ICLEI format was not used. Consultant The Brendle Group developed their own Excel spreadsheet that we used for 2013 and 2017 updates. That spreadsheet is uploaded.",,"CH4, CO2, N20",2410390,8752052,,,,,,,,,,Decreased,Other: Greatly improved emissions factors of the local electric utility by increased reliance on renewable energy sources,,488943,2017,POINT (-94.573 39.1429),2020-05-01T03:57:57.217
2019,50558,"City of London, ON","London, ON",Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",32000,2796000,,64000,,20000,,,,,,Decreased,Technological change,,387000,2017,POINT (-81.2497 42.9837),2020-05-01T03:57:57.217
2019,834255,Municipality of Guaymallén,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",0,606275.11,0,168946.58,0,51751.74,,,,,,This is our first year of calculation,Other,,283803,2010,,2020-05-01T03:57:57.217
2019,59707,"Town of Princeton, NJ",,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2018-01-01 - 2018-12-31,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,,"CH4, CO2, N20",,532475,,,,,,,,,,Increased,Increased energy/electricity consumption,,31822,2019,,2020-05-01T03:57:57.217
2019,50203,Gaziantep Metropolitan Municipality,Gaziantep,Turkey,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2015-01-01 - 2015-12-31,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,"CH4, CO2, HFCs, N20, PFCs, SF6",,,,,,,,,,,,Increased,Population increase,,2028563,2018,,2020-05-01T03:57:57.217
2019,73695,Uranga,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",0,8459.14,0,1388.5,0,212.97,,,,,,,,,913,2010,,2020-05-01T03:57:57.217
2019,827048,Zhenjiang Municipal People's Government,,China,East Asia,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Regional or country specific methodology,,,"CH4, CO2, N20",,61674200,,,,,,,,,,Do not know,,,3186300,2018,,2020-05-01T03:57:57.217
2019,31163,Istanbul Metropolitan Municipality,Istanbul,Turkey,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2018-01-01 - 2018-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Calculations made based on GPC Methodology but answers entered in CRF format as desired.,Yes,"CH4, CO2, N20",2898491,35467899,,14454903,,,,,,,,Increased,Population increase,,15067724,2018,POINT (28.9784 41.0082),2020-05-01T03:57:57.217
2019,31184,Prefeitura de São Paulo,São Paulo,Brazil,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,12989951,2533064,607946,16130962,,,,,11253503,2017,POINT (-46.7382 -23.5595),2020-05-01T03:57:57.217
2019,31153,City of Berlin,Berlin,Germany,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,The Statistical Office of Berlin and Brandenburg is collecting an compiling Data for the Berlin Energy and Emission Balance based on guideline of the German Federal Statistical Office which uses the IPCC Guidelines for national reporting.,,CO2,,9792000,10261000,,,,,,,,,Stayed the same,Emissions have not changed,,3644998,2018,POINT (13.405 52.52),2020-05-01T03:57:57.217
2019,74594,City of Boynton Beach,Boynton Beach,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),The City  of Boynton Beach utilized the GPC methodology for its community inventory per GCoM requirements.,Yes,"CH4, CO2, N20",,445882.3,,423823.05,,50633.81,,,,,,This is our first year of calculation,Other: This is GPC baseline year.,,76756,2018,POINT (-80.216 26.4986),2020-05-01T03:57:57.217
2019,58795,Blantyre City Council,Blantyre,Malawi,Africa,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2019-07-01 - 2020-06-30,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),Co2 and Carbon Monoxide,,CO2,60,,,,,,,,,,,Increased,Emissions reduction actions not implemented,,1000000,2019,POINT (35.0378 -15.8028),2020-05-01T03:57:57.217
2019,831999,Concejo Municipal de Distrito de Monte Verde,,Costa Rica,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Regional or country specific methodology,"La metodología utilizada para la medición, reporte y verificación de las emisiones, reducciones , remociones y compensaciones de GEI a nivel cantonal para Costa Rica fue elaborado por la Dirección de Cambio Climático del Ministerio de Ambiente y Energía de Costa Rica.",,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",34.25,,,,,,,,,,,This is our first year of calculation,,,65,219,,2020-05-01T03:57:57.217
2019,58489,Hoeje-Taastrup Kommune,Hoeje-Taastrup,Denmark,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2018-01-01 - 2018-12-31,Same – covers entire city and nothing else,Other: KlimaKommune,"Based on The Danish society for Nature Conservations KlimaKommune protocol, which is national standard for municipalities in Denmark.",,"CH4, CO2, N20",0,170031,89191,89191,,,,,,,,Increased,Increased energy/electricity consumption,,50596,2018,POINT (12.2898 55.6563),2020-05-01T03:57:57.217
2019,14874,"City of Portland, OR","Portland, OR",United States of America,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),None.,No,"CH4, CO2, N20",,,,,,,5442661,2148556,109907,7701120,7701120,Increased,Increased energy/electricity consumption,,807555,2017,POINT (-122.682 45.52),2020-05-01T03:57:57.217
2019,31052,City of Cardiff,Cardiff,United Kingdom of Great Britain and Northern Ireland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Regional or country specific methodology,"BEIS (Business, Energy and Industrial Strategy) government department local authority CO2 emissions data",,CO2,60164,,,,,,,,,,,Decreased,Technological change,,365000,2018,POINT (-3.17909 51.4816),2020-05-01T03:57:57.217
2019,54510,Umeå municipality,Umeå,Sweden,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities, WWF",public,Yes,2017-01-01 - 2017-12-31,Larger – covers the whole city and adjoining areas,City specific methodology,The emission inventory is based on methodology from covenant of mayor and is used together with national guidelines from the organisation”klimatkommunerna”. The statistics are collected from Statistic Sweden. The inventory is made by the city’s environment and health department.,,CO2,80268,256449,,,,,,,,,,Stayed the same,,,127119,2018,POINT (20.263 63.8258),2020-05-01T03:57:57.217
2019,50572,"City of Saint Paul, MN",Saint Paul,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"It's also categorized according to  the Global Protocol (GPC),",,"CH4, CO2, N20",,3170866.16,,1050968.47,,557080.52,,,,,,Increased,Increased energy/electricity consumption,,306621,2017,POINT (-93.09 44.9537),2020-05-01T03:57:57.217
2019,31108,City of Houston,Houston,United States of America,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,19263921,13578513,571584,33414017,,This is our first year of calculation,Other,,2325502,2018,POINT (-95.3694 29.7602),2020-05-01T03:57:57.217
2019,44076,Bursa Metropolitan Municipality,Bursa,Turkey,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"The most common international GreenhouseGas Protocol was used in the creation of corporate inventory. The 2006 IPCC Guidelines for National Greenhouse Gas Inventories developed by the National Greenhouse Gas Inventories Working Group of the Intergovernmental Panel on Climate Change (IPCC) was taken as a basis on The preparation of the city-scale greenhouse gas emissions inventory.The emission sources which should be included in greenhouse gas emitions and the methodologies used to quantify these sources, differ between institutions, organizations and sectors, but not among local governments. The International Local Government Greenhouse Gas Emissions Analysis Protocol (IEAP), established by the International Council of Local Environmental Initiatives (ICLEI), has been drafted within the framework of the general principles and philosophy that apply to each local government, regardless of location. ICLEI was founded in 1990 and has been operating since 2003 under the name of Local Governments for Sustainability. IEAP;Was Compiled on the basis of - IPCC 2006 methodologies,- WRI / WBCSD GHG Protocol,- ISO 14064 GHG Standard series and- Global Reporting Initiative (GRI) Annex for Public Sector Institutions.When preparing the emition draft under the IPCC, it is necessary to choose between approaches called TIER 1-2-3 (Level 3 1-2-3), depending on the degree of detail, refraction, accuracy and reliability of the types of data available. TIER 1 and TIER 2 approaches were selected for the evaluation made for Bursa Metropolitan Municipality.",,"CH4, CO2, N20",,8352875,,4823721,,33023,,,,,,Increased,Population increase,,2994521,2018,,2020-05-01T03:57:57.217
2019,54386,Tainan City Government,Tainan,"Taiwan, Greater China",East Asia,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"In addition to IEAP, we also use the GPC and ""Guide for GHG inventory of Taiwan"" to calculate the GHG emission.",Yes,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,7684831,,14326353.59,,48291.58,,,,,,Increased,Increased energy/electricity consumption,,1883831,2018,POINT (120.227 22.9999),2020-05-01T03:57:57.217
2019,1499,Ajuntament de Barcelona,Barcelona,Spain,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Barcelona's local Government uses it's own protocol, which takes into account IPCC 2016 and which has been parcialy adapted to the GPC Protocol.",No,"CH4, CO2, N20",,,,,,,2759033,734820,71082,2812730,,Decreased,,,1620343,2018,POINT (2.1775 41.3823),2020-05-01T03:57:57.217
2019,74534,"Erie County, NY",,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Other: New York Community and Regional GHG Inventory Guidance,"This is a community greenhouse gas protocol developed by the New York State Energy Research and Development Authority.  Erie County adjusted a regional, five-county, inventory conducted in 2010 to the County, as described in the Erie County Commits to Paris Report.   https://www.dec.ny.gov/docs/administration_pdf/ghgguide.pdf",,"CH4, CO2, HFCs, N20, PFCs, SF6",,,,,,,9112833,2640003,,,,Decreased,Technological change,,919791,2018,,2020-05-01T03:57:57.217
2019,58797,Hørsholm Kommune,Hørsholm,Denmark,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,74806,93002,,167808,,Increased,Change in available data,,24856,2015,POINT (12.5049 55.8835),2020-05-01T03:57:57.217
2019,60391,Municipalidad de San Borja,San Borja,Peru,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2019-01-01 - 2019-12-30,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"This Feasibility Study uses the GPC for GHG Accounting (version 2.0) developed by the World Resources Institute (WRI) in coordination with the C40 Climate Leadership Group and ICLEI-Local Governments for Sustainability, as the normative standard protocol for the GHG baseline inventory and emissions reductions accounting and reporting. A standardized protocol allows for inventory results and performance benchmarks that are comparable with neighboring municipalities.",,"CH4, CO2, N20",338,2785,,,,,,,,,,Decreased,Behavioural change,,113540,2019,POINT (-12.1078 -76.9989),2020-05-01T03:57:57.217
2019,43932,Auckland Council,Auckland,New Zealand,Southeast Asia and Oceania,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Version 1 (published in 2014),No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,8388906,861222,876233,7551034,10126329,Decreased,Other,,1614400,2016,POINT (174.742 -36.8153),2020-05-01T03:57:57.217
2019,50373,Municipalidad  de Rosario,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",602402,3921114,0,,0,,,,,,,Increased,Increased energy/electricity consumption,,982137,2014,,2020-05-01T03:57:57.217
2019,50579,City of Winnipeg,Winnipeg,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2011-01-01 - 2011-12-31,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas emissions version 1.0ICLEI - Local Government for Sustainability USA 2012,,"CH4, CO2, N20",,,,,,,5360740,18284,0,,,This is our first year of calculation,Lack of resource / funding overcome,,691800,2011,POINT (-97.1375 49.8997),2020-05-01T03:57:57.217
2019,35886,Comune di Torino,Torino,Italy,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Regional or country specific methodology,"The municipal administration adhering to the Covenant of Mayors for Climate and Energy will have a single plan to optimize and make effective mitigation, adaptation and monitoring policies.",,CO2,,2299973,,1756798,,0,,,,,,Decreased,"Other: Improvement of energy efficiency, population reduction, economic crisis.",,879004,2018,POINT (7.668 45.1006),2020-05-01T03:57:57.217
2019,69822,Kristianstad,,Sweden,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Regional or country specific methodology,"Top-down distribution of national statistics to regional and municipal levels according to SMED (Svenska MiljöEmissionsData), a collaboration between IVL Swedish Environmental Research Institute, SCB Statistics Sweden, SMHI Swedish Meteorological and Hydrological Institute and SLU Swedish University of Agricultural Sciences. Complemented with local data.",,"CH4, CO2, HFCs, N20, PFCs, SF6",4496,400247,,25816,,,,,,,,Decreased,Technological change,,84908,2018,,2020-05-01T03:57:57.217
2019,54110,City of Santa Monica,Santa Monica,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2018-01-01 - 2018-12-31,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,,"CH4, CO2, N20",,731059,,181164,,39388,,,,,,Decreased,Technological change,,92478,2016,POINT (-118.481 34.0219),2020-05-01T03:57:57.217
2019,59531,"City of Santa Barbara, CA",,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,394627.44,111114.14,10464.38,516205.96,538590.05,Decreased,Technological change,,93532,2019,,2020-05-01T03:57:57.217
2019,58485,Abington Township,Abington,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2015-01-01 - 2015-12-31,Same – covers entire city and nothing else,Regional or country specific methodology,"The Delaware Valley Regional Planning Commission (DVRPC) is the designated Metropolitan Planning Organization (MPO) for the Greater Philadelphia Region. DVRPC works to promote regional cooperation in a 9-county, bi-state region. The region includes Bucks, Chester, Delaware, Montgomery (the county where Abington Township is located and the third largest Pennsylvania county), and Philadelphia counties in Pennsylvania; and Burlington, Camden, Gloucester, and Mercer counties in New Jersey. DVRPC facilitates city, county and state representatives of this region to address key concerns such as transportation, land use, environmental protection and economic development. DVRPC conducts a regional Energy Use and Greenhouse Gas Emissions Inventory on a 5-year interval. A detailed guide outlining the methods and data sources used for DVRPC’s 2010 Energy Use and Greenhouse Gas Emissions in Greater Philadelphia, may be viewed at https://www.dvrpc.org/EnergyClimate/pdf/2010_Energy_Use_and_Greenhouse_Gas_Emissions_in_Greater_Philadelphia-Methods_and_Sources.pdf.  Abington Township's most recent inventory from DVRPC's 2015 inventory is summarized below: 1. DVRPC conducted a baseline inventory in 2005 which may be found at http://www.dvrpc.org/reports/09038A.pdf  (Abington's results may be found on line 1 of page 66 or A-13 of this document under the Table ""Montgomery County, PA – 2005 Greenhouse Gas Emissions Allocated to Municipality (MTCO2E)""; 2. A 2010 inventory for which Abington Townships results may be found at http://www.dvrpc.org/webmaps/MunicipalEnergy/mcdDetail.aspx?mcdcode=4209100156  under ""GHG Emissions by Sector"" which is further broken down at the end under ""Non-Energy Greenhouse Gas Emissions""; and 3. The 2015 Inventory which may be found at https://www.dropbox.com/s/spoami2099bynff/DVRPC%202015%20Inventory_Abington%20Township%20-2018-07-09%20-%20FINAL.xlsx?dl=0.  The 2015 results are being reported for this questionnaire.",,"CH4, CO2, HFCs, N20, PFCs",,425035,,149453,,24419,,,,,,Decreased,Other,,55310,2010,POINT (-75.1195 40.1241),2020-05-01T03:57:57.217
2019,58482,Ville de Laval,Laval,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",,2185946,,73720,,,,,,,,Increased,Increased energy/electricity consumption,,437413,2017,POINT (-73.7126 45.6207),2020-05-01T03:57:57.217
